codigo_municipio;uf;nome_municipio
1100015;RO;Alta_Floresta_D'Oeste_RO
1100379;RO;Alto_Alegre_dos_Parecis_RO
1100403;RO;Alto_Paraiso_RO
1100346;RO;Alvorada_D'Oeste_RO
1100023;RO;Ariquemes_RO
1100452;RO;Buritis_RO
1100031;RO;Cabixi_RO
1100601;RO;Cacaulandia_RO
1100049;RO;Cacoal_RO
1100700;RO;Campo_Novo_de_Rondonia_RO
1100809;RO;Candeias_do_Jamari_RO
1100908;RO;Castanheiras_RO
1100056;RO;Cerejeiras_RO
1100924;RO;Chupinguaia_RO
1100064;RO;Colorado_do_Oeste_RO
1100072;RO;Corumbiara_RO
1100080;RO;Costa_Marques_RO
1100940;RO;Cujubim_RO
1100098;RO;Espigao_D'Oeste_RO
1101005;RO;Governador_Jorge_Teixeira_RO
1100106;RO;Guajara-Mirim_RO
1101104;RO;Itapua_do_Oeste_RO
1100114;RO;Jaru_RO
1100122;RO;Ji-Parana_RO
1100130;RO;Machadinho_D'Oeste_RO
1101203;RO;Ministro_Andreazza_RO
1101302;RO;Mirante_da_Serra_RO
1101401;RO;Monte_Negro_RO
1100148;RO;Nova_Brasilandia_D'Oeste_RO
1100338;RO;Nova_Mamore_RO
1101435;RO;Nova_Uniao_RO
1100502;RO;Novo_Horizonte_do_Oeste_RO
1100155;RO;Ouro_Preto_do_Oeste_RO
1101450;RO;Parecis_RO
1100189;RO;Pimenta_Bueno_RO
1101468;RO;Pimenteiras_do_Oeste_RO
1100205;RO;Porto_Velho_RO
1100254;RO;Presidente_Medici_RO
1101476;RO;Primavera_de_Rondonia_RO
1100262;RO;Rio_Crespo_RO
1100288;RO;Rolim_de_Moura_RO
1100296;RO;Santa_Luzia_D'Oeste_RO
1101484;RO;Sao_Felipe_D'Oeste_RO
1101492;RO;Sao_Francisco_do_Guapore_RO
1100320;RO;Sao_Miguel_do_Guapore_RO
1101500;RO;Seringueiras_RO
1101559;RO;Teixeiropolis_RO
1101609;RO;Theobroma_RO
1101708;RO;Urupa_RO
1101757;RO;Vale_do_Anari_RO
1101807;RO;Vale_do_Paraiso_RO
1100304;RO;Vilhena_RO
1200013;AC;Acrelandia_AC
1200054;AC;Assis_Brasil_AC
1200104;AC;Brasileia_AC
1200138;AC;Bujari_AC
1200179;AC;Capixaba_AC
1200203;AC;Cruzeiro_do_Sul_AC
1200252;AC;Epitaciolandia_AC
1200302;AC;Feijo_AC
1200328;AC;Jordao_AC
1200336;AC;Mancio_Lima_AC
