unidade;cafe_total;cafe_arabica;cafe_cenephora;laranja;soja;ano
Brasil;1952;1879;2234;29205;3275;2020
Norte;2256;1222;2257;21215;3158;2020
Nordeste;2013;1472;3080;12189;3467;2020
Sudeste;1950;1907;2169;34452;3573;2020
Sul;1637;1637;NA;21714;2826;2020
Centro-Oeste;1353;2306;678;21291;3528;2020
Rondonia;2266;NA;2266;12833;3435;2020
Acre;2135;NA;2135;14424;3165;2020
Amazonas;1445;1222;1471;17696;2963;2020
Roraima;NA;NA;NA;8433;2802;2020
Para;966;NA;966;23380;3095;2020
Amapa;NA;NA;NA;6465;2385;2020
Tocantins;NA;NA;NA;11082;3122;2020
Maranhao;NA;NA;NA;4889;3181;2020
Piaui;NA;NA;NA;8896;3230;2020
Ceara;358;351;446;8703;3000;2020
Rio_Grande_do_Norte;NA;NA;NA;10000;NA;2020
Paraiba;1333;1333;NA;6327;NA;2020
Pernambuco;397;397;NA;9312;NA;2020
Alagoas;NA;NA;NA;12177;3791;2020
Sergipe;NA;NA;NA;12519;NA;2020
Bahia;2043;1501;3087;12219;3746;2020
Minas_Gerais;1957;1956;2088;26042;3667;2020
Espirito_Santo;2057;1817;2172;12811;NA;2020
Rio_de_Janeiro;1664;1664;1200;13446;NA;2020
Guanabara;NA;NA;NA;NA;NA;2020
Sao_Paulo;1720;1720;1787;35719;3431;2020
Parana;1637;1637;NA;29207;3772;2020
Santa_Catarina;NA;NA;NA;16610;3375;2020
Rio_Grande_do_Sul;NA;NA;NA;15088;1890;2020
Mato_Grosso_do_Sul;702;702;NA;20308;3504;2020
Mato_Grosso;690;1803;678;8733;3511;2020
Goias;2408;2408;NA;22310;3592;2020
Distrito_Federal;1600;1600;NA;20200;3900;2020
Alta_Floresta_D'Oeste_RO;2568;NA;2568;12500;3000;2020
Ariquemes_RO;1429;NA;1429;6400;3276;2020
Cabixi_RO;2741;NA;2741;10000;3478;2020
Cacoal_RO;1649;NA;1649;12500;3000;2020
Cerejeiras_RO;2156;NA;2156;NA;3894;2020
Colorado_do_Oeste_RO;1824;NA;1824;13000;3350;2020
Corumbiara_RO;2440;NA;2440;NA;3526;2020
Costa_Marques_RO;1040;NA;1040;13318;NA;2020
Espigao_D'Oeste_RO;1523;NA;1523;13889;3000;2020
Guajara-Mirim_RO;600;NA;600;NA;NA;2020
Jaru_RO;2665;NA;2665;11600;NA;2020
Ji-Parana_RO;721;NA;721;11600;NA;2020
Machadinho_D'Oeste_RO;2058;NA;2058;12556;3493;2020
Nova_Brasilandia_D'Oeste_RO;1469;NA;1469;12143;3000;2020
Ouro_Preto_do_Oeste_RO;972;NA;972;13250;NA;2020
Pimenta_Bueno_RO;1206;NA;1206;13000;3239;2020
Porto_Velho_RO;1705;NA;1705;13207;3200;2020
Presidente_Medici_RO;601;NA;601;13667;NA;2020
Rio_Crespo_RO;922;NA;922;NA;3080;2020
Rolim_de_Moura_RO;2071;NA;2071;14167;2940;2020
Santa_Luzia_D'Oeste_RO;1463;NA;1463;13000;2400;2020
Vilhena_RO;3091;NA;3091;17273;3660;2020
Sao_Miguel_do_Guapore_RO;4353;NA;4353;NA;3000;2020
Nova_Mamore_RO;827;NA;827;NA;2760;2020
Alvorada_D'Oeste_RO;2969;NA;2969;NA;3300;2020
Alto_Alegre_dos_Parecis_RO;2518;NA;2518;13925;3400;2020
Alto_Paraiso_RO;1236;NA;1236;9000;3549;2020
Buritis_RO;2411;NA;2411;12143;NA;2020
Novo_Horizonte_do_Oeste_RO;1619;NA;1619;NA;3000;2020
